"Robots Tag","Robots Tag"
"Add Breadcrumb","Add Breadcrumb"
"Redirect if disabled",""
"When a category or a product is disabled redirect to former parent category.","When a category or a product is disabled redirect to former parent category."
"Search Engine Settings","Search Engine Settings"
"Robots Tag for Customer Area","Robots Tag for Customer Area"
"Blacklist Category IDs","Blacklist Category IDs"
"When checking for a redirect ignore these category ids (comma-separated).","When checking for a redirect ignore these category ids (comma-separated)."
"Meta title max length","Meta title max length"
"Truncate meta titles of categories and products that are longer than this value.","Truncate meta titles of categories and products that are longer than this value."
"Category Meta Description Phrases","Category Meta Description Phrases"
"Product Meta Description Phrases","Product Meta Description Phrases"
"These phrases are used as/appended to the category meta description. One phrase per line.","These phrases are used as/appended to the category meta description. One phrase per line."
"These phrases are used as/appended to the product meta description. One phrase per line.","These phrases are used as/appended to the product meta description. One phrase per line."
"This content is rendered when http://domain.com/robots.txt is accessed. Magento short-codes (e.g. <strong>{{store direct_url=""""}}</strong>) are available.","This content is rendered when http://domain.com/robots.txt is accessed. Magento short-codes (e.g. <strong>{{store direct_url=""""}}</strong>) are available."
